Time: 2018-08-28 16:35:58.489425

      Signal_1            Signal_2              Type            Expected_Min        Expected_Max      Measured_Result          Pass?        
        SQ_6              SQ_RTN_6           Connected          8000.000000         12000.000000        4.757178E+09            FAIL        
        SQ_6             TES_BIAS_7         Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6              SQ_RTN_7          Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6               SQF_6            Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6             TES_BIAS_9         Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6             SQF_RTN_7          Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6               SQF_8            Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6              SQ_RTN_8          Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6               SQF_9            Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6             SQ_RTN_10          Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6            TES_BIAS_10         Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6               SQ_11            Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6             SQF_RTN_10         Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6               SQF_11           Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6                 R+             Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6                 R-             Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6             TES_BIAS_6         Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6                SQ_7            Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6             SQF_RTN_6          Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6             TES_BIAS_8         Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6               SQF_7            Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6             SQF_RTN_8          Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6                SQ_8            Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6             SQF_RTN_9          Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6              SQ_RTN_9          Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6                SQ_9            Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6               SQ_10            Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6            TES_BIAS_11         Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6             SQ_RTN_11          Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6               SQF_10           Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6             SQF_RTN_11         Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6               QDR_3            Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6               QFB_3            Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6               QDR_2            Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6               QFB_2            Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6               QDM_2            Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6              QGSET_2           Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6               QDM_3            Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6              QGSET_3           Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6              QBIAS_2           Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6              QRST_B-           Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6              QBIAS_3           Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6              QRST_B+           Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6               LED_3            Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6            LED_COM_BOT         Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6               LED_4            Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6               LED_5            Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6             AGND_BOT_1         Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6             AGND_BOT_2         Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6             TES_BIAS_4         Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6               SQF_5            Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6                SQ_5            Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6             SQF_RTN_4          Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6              SQ_RTN_4          Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6                SQ_3            Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6             TES_BIAS_2         Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6                SQ_2            Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6             SQF_RTN_3          Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6             SQF_RTN_2          Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6               SQF_1            Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6                SQ_1            Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6             SQF_RTN_0          Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6              SQ_RTN_0          Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6              THERM_V-          Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6              THERM_V+          Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6              THERM_I-          Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6             TES_BIAS_5         Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6             SQF_RTN_5          Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6              SQ_RTN_5          Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6               SQF_4            Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6                SQ_4            Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6              SQ_RTN_3          Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6             TES_BIAS_3         Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6              SQ_RTN_2          Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6               SQF_3            Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6             TES_BIAS_0         Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6             TES_BIAS_1         Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6               SQF_2            Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6             SQF_RTN_1          Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6              SQ_RTN_1          Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6               SQF_0            Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6                SQ_0            Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6              THERM_I+          Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
        SQ_6               QDR_0            Disconnected        Disconnected        Disconnected        9.900000E+37            PASS        
